word,label
아이스크림,1
커피,1
초콜릿,1
케이크,1
쿠키,1
피자,1
햄버거,1
샌드위치,1
핫도그,1
스테이크,1
파스타,1
스파게티,1
소파,1
샐러드,1
버터,1
치즈,1
요거트,1
밀크,1
주스,1
콜라,1
사이다,1
레몬,1
오렌지,1
망고,1
키위,1
바나나,1
토마토,1
소스,1
케첩,1
마요네즈,1
시리얼,1
비타민,1
칼로리,1
다이어트,1
헬스,1
피트니스,1
요가,1
마사지,1
샴푸,1
린스,1
로션,1
크림,1
젤,1
향수,1
메이크업,1
립스틱,1
파우더,1
브러시,1
스타일,1
패션,1
모델,1
디자이너,1
브랜드,1
컬러,1
블랙,1
화이트,1
그레이,1
블루,1
레드,1
핑크,1
그린,1
옐로,1
퍼플,1
골드,1
실버,1
브라운,1
베이지,1
네이비,1
카키,1
티셔츠,1
셔츠,1
재킷,1
코트,1
니트,1
스웨터,1
카디건,1
블라우스,1
팬츠,1
청바지,1
쇼츠,1
스커트,1
원피스,1
수트,1
넥타이,1
벨트,1
모자,1
캡,1
스니커즈,1
부츠,1
샌들,1
슬리퍼,1
백팩,1
핸드백,1
토트백,1
클러치,1
지갑,1
카드,1
티켓,1
패스,1
쿠폰,1
버스,1
택시,1
지하철,1
터미널,1
플랫폼,1
스테이션,1
라디오,1
텔레비전,1
비디오,1
오디오,1
카메라,1
아이스크림,1
커피,1
초콜릿,1
케이크,1
쿠키,1
피자,1
햄버거,1
샌드위치,1
핫도그,1
스테이크,1
파스타,1
스파게티,1
샐러드,1
버터,1
치즈,1
요거트,1
밀크,1
주스,1
콜라,1
사이다,1
레몬,1
오렌지,1
망고,1
키위,1
바나나,1
토마토,1
소스,1
케첩,1
마요네즈,1
시리얼,1
비타민,1
칼로리,1
다이어트,1
헬스,1
피트니스,1
요가,1
마사지,1
샴푸,1
린스,1
로션,1
크림,1
젤,1
향수,1
메이크업,1
립스틱,1
파우더,1
브러시,1
스타일,1
패션,1
모델,1
디자이너,1
브랜드,1
컬러,1
블랙,1
화이트,1
그레이,1
블루,1
레드,1
핑크,1
그린,1
옐로,1
퍼플,1
골드,1
실버,1
브라운,1
베이지,1
네이비,1
카키,1
티셔츠,1
셔츠,1
재킷,1
코트,1
니트,1
스웨터,1
카디건,1
블라우스,1
팬츠,1
청바지,1
쇼츠,1
스커트,1
원피스,1
수트,1
넥타이,1
벨트,1
모자,1
캡,1
스니커즈,1
부츠,1
샌들,1
슬리퍼,1
백팩,1
핸드백,1
토트백,1
클러치,1
지갑,1
카드,1
티켓,1
패스,1
쿠폰,1
버스,1
택시,1
지하철,1
터미널,1
플랫폼,1
스테이션,1
라디오,1
텔레비전,1
비디오,1
오디오,1
카메라,1
아이스크림,1
커피,1
초콜릿,1
케이크,1
쿠키,1
피자,1
햄버거,1
샌드위치,1
핫도그,1
스테이크,1
파스타,1
스파게티,1
샐러드,1
버터,1
치즈,1
요거트,1
밀크,1
주스,1
콜라,1
사이다,1
레몬,1
오렌지,1
망고,1
키위,1
바나나,1
토마토,1
소스,1
케첩,1
마요네즈,1
시리얼,1
비타민,1
칼로리,1
다이어트,1
헬스,1
피트니스,1
요가,1
마사지,1
샴푸,1
린스,1
로션,1
크림,1
젤,1
향수,1
메이크업,1
립스틱,1
파우더,1
브러시,1
스타일,1
패션,1
모델,1
디자이너,1
브랜드,1
컬러,1
블랙,1
화이트,1
그레이,1
블루,1
레드,1
핑크,1
그린,1
옐로,1
퍼플,1
골드,1
실버,1
브라운,1
베이지,1
네이비,1
카키,1
티셔츠,1
셔츠,1
재킷,1
코트,1
니트,1
스웨터,1
카디건,1
블라우스,1
팬츠,1
청바지,1
쇼츠,1
스커트,1
원피스,1
수트,1
넥타이,1
벨트,1
모자,1
캡,1
스니커즈,1
부츠,1
샌들,1
슬리퍼,1
백팩,1
핸드백,1
토트백,1
클러치,1
지갑,1
카드,1
티켓,1
패스,1
쿠폰,1
버스,1
택시,1
지하철,1
터미널,1
플랫폼,1
스테이션,1
라디오,1
텔레비전,1
비디오,1
오디오,1
카메라,1
아이스크림,1
커피,1
초콜릿,1
케이크,1
쿠키,1
피자,1
햄버거,1
샌드위치,1
핫도그,1
스테이크,1
파스타,1
스파게티,1
샐러드,1
버터,1
치즈,1
요거트,1
밀크,1
주스,1
콜라,1
사이다,1
레몬,1
